name,rating,num_reviews,address,phone,website,yelp
Le Comptoir de la Gastronomie,4.5,1116,34 rue Montmartre 75001 Paris,01 42 33 31 32,www.comptoirdelagastronomie.co,https://www.yelp.com/biz/le-comptoir-de-la-gastronomie-paris?osq=Restaurant
Bistro des Augustins,4.5,436,39 quai des Grands Augustins 75006 Paris,01 43 54 04 41,,https://www.yelp.com/biz/bistro-des-augustins-paris?osq=Restaurant
Le Temps des Cerises,4.5,347,31 rue de la Cerisaie 75004 Paris,01 42 72 08 63,www.letempsdescerises-restaurant.f,https://www.yelp.com/biz/le-temps-des-cerises-paris-5?osq=Restaurant
L'Avant Comptoir,4.5,618,3 carrefour de l'Odéon 75006 Paris,01 42 38 47 55,www.hotel-paris-relais-saint-germain.com,https://www.yelp.com/biz/l-avant-comptoir-paris-3?osq=Restaurant
Les Antiquaires,4.5,356,13 rue du Bac 75007 Paris,01 42 61 08 36,,https://www.yelp.com/biz/les-antiquaires-paris?osq=Restaurant
Le Petit Canard,4.5,194,19 rue Henri Monnier 75009 Paris,01 49 70 07 95,www.resto-lepetitcanard.co,https://www.yelp.com/biz/le-petit-canard-paris?osq=Restaurant
Pain Vin Fromages,4.5,253,3 rue Geoffroy-l'Angevin 75004 Paris,01 42 74 07 52,,https://www.yelp.com/biz/pain-vin-fromages-paris?osq=Restaurant
La Coïncidence,4.5,496,15 rue Mesnil 75116 Paris,01 47 55 96 44,www.lacoincidence.co,https://www.yelp.com/biz/la-co%C3%AFncidence-paris-4?osq=Restaurant
Chez Fernand,4.5,196,9 rue Christine 75006 Paris,01 43 25 18 55,www.chezfernand.f,https://www.yelp.com/biz/chez-fernand-paris?osq=Restaurant
L'As du Fallafel,4.5,1813,34 rue des Rosiers 75004 Paris,01 48 87 63 60,,https://www.yelp.com/biz/l-as-du-fallafel-paris?osq=Restaurant
Gemini,4.5,31,16 rue des Halles 75001 Paris,01 42 61 59 20,www.restaurantgemini.f,https://www.yelp.com/biz/gemini-paris-2?osq=Restaurant
Frenchie Restaurant,4.5,215,5-6 rue du Nil 75002 Paris,01 40 39 96 19,www.frenchie-restaurant.com,https://www.yelp.com/biz/frenchie-restaurant-paris?osq=Restaurant
Pedzouille,5.0,22,66 rue du Faubourg Poissonnière 75010 Paris,09 86 40 42 42,www.pedzouille.f,https://www.yelp.com/biz/pedzouille-paris?osq=Restaurant
Gambino,4.5,210,6 rue Gomboust 75001 Paris,01 42 60 12 70,www.gambino-restaurant.f,https://www.yelp.com/biz/gambino-paris-2?osq=Restaurant
La Fontaine de Mars,4.5,279,129 rue Saint-Dominique 75007 Paris,01 47 05 46 44,www.fontainedemars.co,https://www.yelp.com/biz/la-fontaine-de-mars-paris-2?osq=Restaurant
Le Relais de l'Entrecôte,4.0,440,20 rue Saint Benoît 75006 Paris,01 45 49 16 00,,https://www.yelp.com/biz/le-relais-de-l-entrec%C3%B4te-paris-4?osq=Restaurant
Girafe,4.0,54,1 place du Trocadéro Palais de Chaillot,01 40 62 70 61,www.girafeparis.co,https://www.yelp.com/biz/girafe-paris?osq=Restaurant
La Régalade,4.5,89,106 rue Saint-Honoré 75001 Paris,01 42 21 92 40,www.laregalade.pari,https://www.yelp.com/biz/la-r%C3%A9galade-paris-3?osq=Restaurant
Chungking Express,4.5,20,5 rue de la Tour d'Auvergne 75009 Paris,09 82 36 03 17,www.chungkingexpress.f,https://www.yelp.com/biz/chungking-express-paris?osq=Restaurant
Chez Janou,4.0,534,2 rue Roger Verlomme 75003 Paris,01 42 72 28 41,www.chezjanou.f,https://www.yelp.com/biz/chez-janou-paris?osq=Restaurant
Chungking Express,4.5,20,5 rue de la Tour d'Auvergne 75009 Paris,09 82 36 03 17,www.chungkingexpress.f,https://www.yelp.com/biz/chungking-express-paris?osq=Restaurant
Le Comptoir,4.0,439,9 carrefour de l'Odeon 75006 Paris,01 44 27 07 50,www.hotel-paris-relais-saint-germain.co,https://www.yelp.com/biz/le-comptoir-paris-18?osq=Restaurant
La Cordonnerie,5.0,80,20 rue Saint Roch 75001 Paris,01 42 60 17 42,,https://www.yelp.com/biz/la-cordonnerie-paris-5?osq=Restaurant
LouLou,4.0,40,107 rue de Rivoli 75001 Paris,01 42 60 41 96,,https://www.yelp.com/biz/loulou-paris?osq=Restaurant
Le Potager du Père Thierry,4.5,426,16 rue des Trois Frères 75018 Paris,01 53 28 26 20,,https://www.yelp.com/biz/le-potager-du-p%C3%A8re-thierry-paris-2?osq=Restaurant
Café de Paris,4.0,61,3 rue de l'Échelle 75001 Paris,01 42 60 84 26,,https://www.yelp.com/biz/caf%C3%A9-de-paris-paris-9?osq=Restaurant
Le Bistro du Périgord,4.5,346,71 rue Saint-Jacques 75005 Paris,01 43 29 67 49,,https://www.yelp.com/biz/le-bistro-du-p%C3%A9rigord-paris-3?osq=Restaurant
Le Boui Boui,4.5,58,11 rue Marie Stuart 75002 Paris,01 42 36 40 94,,https://www.yelp.com/biz/le-boui-boui-paris?osq=Restaurant
Le Boui Boui,4.5,58,11 rue Marie Stuart 75002 Paris,01 42 36 40 94,,https://www.yelp.com/biz/le-boui-boui-paris?osq=Restaurant
Le Relais de l’Entrecôte,4.0,504,15 rue Marbeuf 75008 Paris,01 49 52 07 17,,https://www.yelp.com/biz/le-relais-de-l-entrec%C3%B4te-paris-3?osq=Restaurant
Angelina,4.0,1362,226 rue de Rivoli 75001 Paris,01 42 60 82 00,www.angelina-paris.fr,https://www.yelp.com/biz/angelina-paris?osq=Restaurant
L'Escargot,4.0,211,38 rue Montorgueil 75001 Paris,01 42 36 83 51,,https://www.yelp.com/biz/l-escargot-paris-3?osq=Restaurant
Le Porte Pot,4.5,133,14 rue Boutebrie 75005 Paris,01 43 25 24 24,www.leportepot.f,https://www.yelp.com/biz/le-porte-pot-paris?osq=Restaurant
Chez Papa Jazz Club,4.5,45,3 rue Saint-Benoît 75006 Paris,01 42 86 99 63,www.papajazzclub-paris.fr,https://www.yelp.com/biz/chez-papa-jazz-club-paris?osq=Restaurant
Derrière,4.0,124,69 rue des Gravilliers 75003 Paris,01 44 61 91 95,www.derriere-resto.co,https://www.yelp.com/biz/derri%C3%A8re-paris?osq=Restaurant
Poulette,4.0,54,3 Rue Etienne Marcel 75001 Paris,09 53 62 89 17,www.pouletterestaurant.co,https://www.yelp.com/biz/poulette-paris?osq=Restaurant
L'Atelier de Joël Robuchon,4.0,380,5 rue de Montalembert Hôtel du Pont Royal,01 42 22 56 56,www.joel-robuchon.com,https://www.yelp.com/biz/l-atelier-de-jo%C3%ABl-robuchon-paris-2?osq=Restaurant
Le Comptoir,4.5,121,18 avenue René Coty 75014 Paris,18 avenue René Coty 75014 Paris France,[],https://www.yelp.com/biz/le-comptoir-paris-12?osq=Restaurant
La Cuisine de Chez Moi,4.5,25,14 rue Richer 75009 Paris,07 76 03 25 95,,https://www.yelp.com/biz/la-cuisine-de-chez-moi-paris?osq=Restaurant
East Mamma,4.5,241,133 rue du Faubourg Saint-Antoine 75011 Paris,01 43 41 32 15,www.bigmammagroup.com,https://www.yelp.com/biz/east-mamma-paris-5?osq=Restaurant
Les Petites Bouchées,4.5,68,4 rue du Roi de Sicile 75004 Paris,01 44 61 49 96,,https://www.yelp.com/biz/les-petites-bouch%C3%A9es-paris?osq=Restaurant
